,,
すとん,,"with a thump, straight down"
諦める,あきらめる,"to give up, abandon"
抜く,ぬく,"to pull out, omit, remove"
祭りばやし,まつりばやし,festival music
くっ付ける,くっつける,to place together
愉快,ゆかい,"pleasant, delightful"
にっこり,,broadly (grinning)
段々,だんだん,"gradually, little by little"
足元,あしもと,"at one's foot, one's step"
グラグラ,,"wobbling, shaking"
ドシン,,"plump, with a heavy thud"
ポツン,,"alone, separated"
続いて,つづいて,"subsequently, next"
宮殿,きゅうでん,palace
旅,たび,"travel, trip"
三宝,さんぼう,the Three Jewels (Buddhist thing)
ニコニコ,,with a friendly grin
芋,も,yam
小槌,こづち,small mallet
チャリン,,with a clink (metal)
頷いて,うなずいて,with a nod
外しい,はずしい,"poor, needy"
若者,わかもの,young person
堂,どう,"temple, shrine, chapel"
観音様,かんのんさま,Buddhist deity of compassion
お参り,おまいり,"visit (a shrine), worship"
お祈り,おいのり,prayer
おまけに,,to make matters worse
貧乏,びんぼう,"poverty-striken, destitute"
与える,あたえる,"to grant, bestow"
ぼっと,,"with a roar (of flames), flaring up"
願い,ねがい,"hope, request"
叶える,かなえる,"to answer (prayer), grant (a request)"
跪く,ひざまずく,to kneel
深々,ふかぶか,very deeply
わくわく,,"trembling, getting nervous"
躓く,つまずく,"to trip (over), stumble"
藁,わら,straw
虻,あぶ,horsefly
手のひら,てのひら,palm (of one's hand)
パット,ぱっと,"suddenly, in a flash"
先っちょ,さきっちょ,"end, tip, point"
括る,くくる,"to tie up, tie together, bundle"
ブンブン,,"buzz, hum"
飛び回る,とびまわる,to fly about
お供,おとも,"attendant, companion"
強請る,ねだる,"to beg, pester"
印,しるし,"symbol, mark"
蜜柑,みかん,mandarin orange
蹲る,うずくまる,"to crouch, squat"
其れなら,それなら,if that's the case
反物,たんもの,"fabric, cloth"
たった,,"only, merely"
素晴らしい,すばらしい,"wonderful, splendid"
跨る,またがる,"to straddle, mount"
だけでなく,,not only... but also
積む,つむ,"to pile up, pack, stack"
背負う,せおう,to carry on one's back
可愛そう,かわいそう,"poor, pitiful"
見とれる,みとれる,"to be fascinated, captivated by"
ばったり,,"with a clash, thud"
投げ出す,なげだす,to throw down
だらしがない,,"loosely, untidy"
プンプン,,"furiously, fuming"
一晩中,ひとばんじゅう,all night long
摩る,さする,"to rub, pat"
踏ん張る,ふんばる,"to brace one's legs, to plant oneself"
庄屋,しょうや,village headman
何としても,何としても,no matter what it takes
お陰様で,おかげさまで,by God's grace
耕す,たがやす,"to till, plow"
お百姓,おひゃくしょう,farmer
