,,
火傷,やけど,"burn, scald"
冷やす,ひやす,"to cool down, chill"
隠れる,かくれる,"to hide, be hidden"
針,はり,"needle, stinger, pin"
チクチク,,"prickling, stinging"
飛び出す,とべだす,"to jump out, appear (suddenly)"
飛び下りる,とびおりる,"to jump down, jump off"
凍てる,いてる,"to freeze, freeze over"
悲鳴,ひめい,"shriek, scream"
悲鳴を上げる,ひめいをあげる,"to scream, complain"
思い知る,おもいしる,to realize
敵,かたき,"opponent, enemy"
勘弁,かんべん,"pardon, forgiveness"
暮らす,くらす,"to live, get along"
働き者,はたらきもの,hard worker
畑,はたけ,"field (for fruits, vegetables)"
二度と,にどと,never again
早速,さっそっく,"at once, immediately"
許す,ゆるす,"to forgive, permit, approve"
仲良く,なかよく,"on good terms, make friends with"
一生懸命,いっしょうけんめい,"very hard, with utmost effort"
お結び,おむすび,rice ball
ころころ,,lightly rolling
転がる,ころがる,"to roll, turn over"
慌てる,あわてる,"to become confused, fluster, panic"
追いかける,おいかける,"to chase, run after"
おいおい,,Hey! Wait a minute!
穴,あな,"hole, pit, burrow"
変,へん,"strange, odd, peculiar"
歌声,うたごえ,singing voice
可笑しい,おかしい,"funny, amusing, comical"
鼠,ねずみ,"mouse, rat"
深い,ふかい,"deep, dense"
喜んで,よろこんで,with pleasure
小判,こばん,koban (gold coins used in Edo period)
欲張り,よくばり,greed
急いで,いそいで,"hurriedly, in haste"
,,
飛び込む,とびこむ,"to jump in, leap in"
真似,まね,"imitating, copying behavior"
真っ暗,まっくら,"total darkness, pitch black"
土竜,もぐら,mole (animal)
お礼に,おれいに,by way of thanks for
相手,あいて,"interlocuter, the other party"
赤ちゃん,あかちゃん,baby
大家,おおや,landlord
音,おと,sound
大人,おとな,adult
鍵,かぎ,key
壁,かべ,wall
ゴミ,,trash
知り合い,しりあい,acquaintance
年上,としうえ,older
年下,としした,younger
仲,なか,relationship
日記,にっき,diary
ピアノ,,piano
引っ越し,ひっこし,moving (one's residence)
本当,ほんとう,truth
鍵をかける,かぎをかける,to lock
迷惑,めいわく,trouble
夜中,よなか,late at night
文句,もんく,complaint
落書き,らくがき,graffiti
迷惑をかける,めいわくをかける,to give (someone) problems
注意,ちゅうい,attention
相談,そうだん,consultation
うるさい,うるさい,noisy
汚い,きたない,dirty
たまらない,,"cannot stand, unbearable"
低い,ひくい,low
幸せ,しあわせ,happy
正直,しょうじき,honest
迷惑,めいわく,"troublesome, annouing"
怒る,おこる,to get angry
からかう,,to tease
騒ぐ,さわぐ,to make noise
たたく,,"to hit, slap"
習う,ならう,to learn (with a tutor)
弾く,ひく,to play (stringed instruments)
引っ越す,ひっこす,to move residence
許す,ゆるす,to forgive
遅れる,おくれる,to be late
掛ける,かける,"to hang, hook"
片付ける,かたづける,"to clean up, organize"
立てる,たてる,to make something stand up
付ける,つける,to write (in a diary)
自殺,じさつ,suicide
国際,こくさい,internationl
行う,おこなう,conduct
場合,ばあい,the case
,,
,,
,,
