,,
姫,ひめ,"noble lady, princess"
城,しろ,castle
王様,おうさま,king
真っ白い,まっしろい,pure white
おきさま,,queen (by marriage)
眺める,ながめる,"to look at, gaze, stare at"
軈て,やがて,"before long, soon, shortly"
小鳥,ことり,little bird
意地悪,いじわる,"malicious, unkind"
鏡,かがみ,mirror
世界中,せかいじゅう,throughout the world
家来,けらい,servant
嘘をつく,うそをつく,to tell a lie
ご苦労様,ごくろうさま,thank you for the hard work
一人ぽっち,ひとりぽっち,"aloneness, all by yourself"
かしら,,I wonder...
そっと,,"softly, gently"
随分,ずいぶん,"terribly, awfully"
散らかる,ちらかる,"to be disordered, scattered around"
並べる,ならべる,"to line up, arrange in a line"
小人,しょうにん,"child, dwarf"
覚ます,さます,"to awaken, arouse from sleep"
吃驚,びっくり,"surprised, startled"
姿,すがた,"figure, dress, appearance"
似合う,にあう,"to suit, match"
結ぶ,むすぶ,"to tie, bind"
苦しい,くるしい,painful
娘,むすめ,daughter
毒,どく,poison
櫛,くし,comb
梳かす,とかす,"to comb out, brush"
必ず,かならず,certainly
,,
,,
,,
,,
,,
魔法,まほう,"witchcraft, spell"
では,,well then
丘,おか,hill
王子,おうじ,prince
宝物,宝物,"treasure, prize possession"
持ち上げる,もちあげる,"to raise up, lift"
見回る,みまわる,to look around
飛び上がる,とびあがる,"to spring, jump up"
おめでとう,,congratulations
手を振る,てをふる,to wave one's hand
エントリー,,entry
会議,かいぎ,"meeting, conference"
活動,かつどう,activity
課長,かちょう,section chief
結果,けっか,"result, outcome"
広告,こうこく,advertisement
自己紹介,ひこしょうかい,self-introduction
締め切り,しめきり,deadline
就職活動,しゅうしょくかつどう,job hunting
情報,じょうほう,information
書類,しょるい,document
説明会,せつめいかい,briefing session
専門,せんもん,field of specialty
推薦状,すいせんじょう,letter of reference recommendation
手続き,てつづき,procedure
動機,どうき,motive
筆記試験,ひっきしけん,written test
プロジィクト,,project
遣り甲斐,やりがい,worth doing
面接,めんせつ,interview
申込用紙,もうしこみようし,application form
履歴書,りれきしょ,resume
志望する,しぼうする,to desire
志望,しぼう,"wish, desire, ambition"
出張,しゅうちょう,business trip
返事,へんじ,reply
連絡,れんらく,contact
雇う,やとう,to employ
必要,ひつよう,necessary
知らせる,しらせる,to notify
訪ねる,たずねる,to visit
企業,きぎょう,"firm, corporation"
求人,きゅうじん,help-wanted
社員,しゃいん,company employee
先攻する,せんこうする,to screen
通知,つうち,notification
資料,しりょう,"data, material"
