,,
どうぞ,,"go ahead, you are welcome"
張る,はる,spring (season)
夏,なつ,summer
冬,ふゆ,winter
秋,あき,fall (season)
置く,おく,"to put, place"
数,すう,"number, quantity"
入れる,いれる,to put in
起こる,おこる,"to occur, happen"
西瓜,すいか,watermelon
桃,もも,peach
マンゴー,,mango
ドリアン,,durian
干し葡萄,ほしぶどう,raisin
杏,あんず,apricot
サクランボ,,cherry
無花果,いちじく,fig
柚,ゆず,citron
柘榴,ざくろ,pomegranate
グアバ,,guava
キウイ,,kiwi
パパイヤ,,papaya
木苺,きいちご,raspberry
韮,にら,Chinese chive
大蒜,にんにく,garlic
セロリ,,celery
トマト,,tomato
里芋,さといも,taro
長芋,ながいも,Chinese yam
山芋,やまいも,Japanese yam
茄子,なす,eggplant
蕪,かぶ,turnip
茸,きのこ,mushroom
生姜,しょうが,ginger
紅生姜,べにしょうが,red pickled ginger
白ネギ,しろねぎ,white onion
南瓜,かぼちゃ,pumpkin
オクラ,,okra
ピーナッツ,,peanut
カシューナッツ,,cashew
萌やし,もやし,bean sprouts
アスパラ,,asparagus
青梗菜,ちんげんせい,Bok Choy
寝室,しんしつ,bedroom
居間,いま,living room
車庫,しゃこ,garage
戸棚,とだな,cupboard
蛇口,じゃぐち,"faucet, tap"
流し,ながし,kitchen sink
風呂場,ふろば,bathroom
玄関,げんかん,"entrance, front door"
ベランダ,,balcony
家具,かぐ,furniture
箪笥,たんす,warrobe
椅子,いす,chair
机,つくえ,desk
絨毯,じゅうたん,carpet
枕,まくら,pillow
冷蔵庫,れいぞうこ,refrigerator
冷凍庫,れいとうこ,freezer
洗濯機,せんたくき,washing machine
乾燥機,かんそうき,drying machine
電気掃除機,でんきそうじき,electric vacuum cleaner
皿洗い気,さらあらいき,dishwasher
箒,ほうき,broom
ゴミ箱,ごみばこ,trash can
塵取り,ちりとり,dustpan
家鴨,あひる,domestic duck
鴨,かも,wild duck
雀,すずめ,sparrow
鳩,はと,"dove, pigeion"
鴉,からす,crow
白鳥,はくちょう,swan
蝙蝠,こうもり,bat
梟,ふくろう,owl
鷲,わし,eagle
鷹,たか,"falcon, hawk"
鶴,つる,crane
牛,うし,cow
馬,うま,horse
縞馬,しまうま,zebra
羊,ひつじ,sheep
山羊,やぎ,goat
豚,ぶた,pig
猪,いのしし,wild boar
駱駝,らくだ,camel
狐,きつね,fox
狼,おおかみ,wolf
熊,くま,bear
鰐,わに,alligator
蛙,かえる,frog
牡蠣,かき,oyster
ペンギン,,penguin
蟻,あり,ant
蚊,か,mosquito
ゴキブリ,,cockroach
蝸牛,かたつむり,snail
百足,むかで,centipede
蛍,ほたる,firefly
蜻蛉,とんぼ,dragonfly
毛虫,けむし,caterpillar
蚯蚓,みみず,earthwarm
守宮,やもり,gecko
蜥蜴,とかげ,lizard
川獺,かわうそ,otter
七面鳥,しちめんちょう,turkey
蠅,はえ,fly (insect)
蝶蝶,ちょうちょう,butterfly
馴鹿,となかい,reindeer
