,,
触れる,ふれる,"to touch, feel"
生き返る,いきかえる,"to revive, come back to life"
批判者,ひはんしゃ,critic
行方,ゆくえ,(one's) whereabouts
眩む,くらむ,"to be dazzled, disoriented"
眠る,ねむる,to sleep (actual sleeping state)
沈む,しずむ,"to sink, become depressed"
切れる,きれる,"to break, expire (time)"
太陽,たいよう,sun
速度,そくど,velocity
知らせる,しらせる,to notify
決す,けっす,"to decide, to determine"
放せる,はなせる,to let go
側,そば,"besides, near"
合図,あいず,"sign, signal"
気づく,きづく,"to notice, recognize"
方法,ほうほう,"method, process"
愛,あい,"love, care"
打ち明ける,うちあける,"to confide, reveal"
隠し事,かくしごと,secret
見抜ける,みぬける,to be transparent
辞める,やめる,"to resign, to quit"
たまらない,,unbearable
続ける,つづける,"to continue, keep on"
お互い,おたがい,"each other, one another"
攻める,せめる,to assault
攻め合い,せめあい,attacking each other
叫ぶ,さけぶ,"to shout, scream"
張る,はる,"to stretch, keep a watch on"
素敵,すてき,"lovely, wonderful"
黙る,だまる,"to be silent, say nothing"
たまらん,,"intolerable, irresistable"
奪う,うばう,"to snatch away, to steal"
集中,しゅうちゅう,concentration
遠慮,えんりょ,"constraint, hesitation"
勧め,すすめ,recommendation
味わう,あじわう,"to taste, savor, experience"
周り,まわり,circumference
反対,はんたい,"opposition, resistance"
代わり,かわり,"substitute, replacement"
突然,とつぜん,"abrupt, sudden"
眼差し,まなざし,"(a) look, gaze"
恋,こい,(romantic) love
狂わせる,くるわせる,"to drive mad, upset"
出逢い,であい,"meeting, encounter"
別れ,わかれ,"parting, separation"
打ち込む,うちこむ,"to hammer in, smash"
傷つく,きずつく,to be wounded
逆,ぎゃく,"reverse, opposite"
暮らし,くらし,"life, livelihood"
流行り,はやり,"fashion, fad"
明かす,あかす,"to pass (night), reveal, prove"
踊り明かす,おどりあかす,to dance all night
魔術,まじゅつ,magic
閉ざす,とざす,"to shut off, block"
飾る,かざる,"to decorate, display"
派手,はで,"showy, loud"
孤独,こどく,solitude
凍える,こごえる,"to freeze (one's body), to become numb"
一口,ひとくち,"mouthful, gulp"
誘う,さそう,"to take (someone) along, tempt"
皮肉,ひにく,"irony, sarcasm"
似てる,にてる,"to resemble, look like"
重なり合う,かさなりあう,"to lie on top of, overlap"
急,きゅう,"sudden, abrupt"
涙ぐむ,なみだぐむ,"to have tears, be moved to tears"
尋ねる,たずねる,"to ask, inquire"
夜更け,よふけ,late at night
高速,こうそく,"high speed, rapid"
怪しい,あやしい,"suspicious, dubious"
輝く,かがやく,"to shine, glitter"
ささやく,,"to whisper, murmur"
稼ぐ,かせぐ,"to earn (income), make (money)"
到着,とうちゃく,arrival
汚れもの,よごれもの,dirty things
喋る,しゃべる,"to talk, chat"
夢,ゆめ,dream
通り,どおり,"avenue, fame, reputation"
戻る,もどる,"to turn back, return, rebound"
俺,おれ,"I (male, arrogant)"
なめらか,,"smooth, trouble-free, fluent"
,,
,,
,,
