,,
アレルギー,,allergy
息,いき,breath
医者,いしゃ,doctor
お腹,おなか,stomach
顔色,かおいろ,facial skin tone
風邪,かぜ,cold (sickness)
体,からだ,body
気分,きぶん,mood
気持ち,きもち,feeling
薬,くすり,medicine
首,くび,neck
怪我,けが,injury
腰,こし,lower back
症状,しょうじょう,symptom
ストレス,,stress
咳,せき,cough
背中,せなか,upper back
ダイエット,,diet
煙草,たばこ,cigarette
熱,ねつ,fever
喉,のど,throat
歯,は,tooth
病気,びょうき,sickness
マッサージ,,massage
胸,,"chest, breast"
無理,むり,overwork
指,ゆび,finger
動かす,うごかす,to move (something)
動く,うごく,(for something) to move
切る,きる,to cut
凝る,こる,to have stiffness
吸う,すう,to inhale
出す,だす,"to take out, prescribe, submit"
詰まる,つまる,to clog
計る,はかる,to measure
吐く,はく,to exhale
走る,はしる,to run
働く,はたらく,to work
ひく,,to catch (a cold)
休む,やすむ,"to rest, be absent"
開ける,あける,to open
上げる,あげる,to raise (something)
下げる,さげる,to lower (something)
付ける,つける,"to attach, apply (medicine)"
疲れる,つかれる,to become tired
出る,でる,"to come out, cough, run a fever"
止める,とめる,to stop (something)
忘れる,わすれる,to forget
上がる,あがる,(for something) to rise
下がる,さがる,(for something) to lower
入院する,にゅういんする,to be hospitalized
痛い,いたい,"hurt, painful"
痒い,かゆい,itchy
ひどい,,serious (injury)
悪い,わるい,"bad, look pale"
色々,いろいろ,various
健康,けんこう,healthy
健康のため,けんこうのため,for the sake of health
すぐ,,"immediately, right away"
足首,あしくび,ankle
胃,い,stomach
腕,うで,arm
腸,ちょう,intestine
爪,つめ,nail
手首,てくび,wrist
頭ガガンガンする,あたまがガンガンする,to have a punding headache
きりきりする,,to have a sharp pain
ずきずきする,,to have a throbbing pain
吐き気がする,はきけがする,to feel nausea
腫れる,はれる,to swell
ひりひりする,,to have a stinging pain
震える,ふるえる,to tremble
骨を折る,ほねをおる,to break a bone
めまいがする,,to feel dizzy
骨,ほね,bone
折る,おる,to fold
お金,おかね,money
お土産,おみやげ,souvenir
温泉,おんせん,hot spring
海外,かいがい,overseas
ガイドブック,,guidebook
観光,かんこう,sightseeing
切符,きっぷ,ticket
客,きゃく,"customer, ticket"
空港,くうこう,airport
国,くに,country
クレジットカード,,credit card
計画,けいかく,plan
携帯電話,けいたいでんわ,cellular phone
景色,けしき,scenery
国内,こくない,domestic
言葉,ことば,"language, words"
時間,じかん,time
準備,じゅんび,preparation
スーツケース,,suitcase
ツアー,,tour
つもり,,intention
デジカメ,,digital camera
荷物,にもつ,luggage
場所,ばしょ,location
パスポート,,passport
日帰り,ひがえり,day trip
船,ふね,"ship, boat"
予定,よてい,"schedule, plan"
予約,よやく,reservation
湖,みずうみ,lake
旅館,りょかん,Japanese-style inn
便利,べんり,convenient
集まる,あつまる,"to get together, to gather"
探す,さがす,to look for
使う,つかう,to use
着く,つく,to arrive
泊まる,とまる,to stay
払う,はらう,to pay
持つ,もつ,to hold
持って行く,もっていく,"to take, bring something"
答える,こたえる,to answer
決める,きめる,to decide
知っている,しっている,to know
調べる,しらべる,"to check, investigate"
建てる,たてる,to build
,,
出る,でる,to leave
特に,とくに,"especially, in particular"
もう,,"already, yet"
まだ,,"still, yet"
箔,~はく,nights (counter)
けれども,,however
そして,,"and, then"
その間,そのあいだ,during that time
その後,そのあと,after that
その前,そのまえ,before that
その時,そのとき,at that time
それで,,"then, so"
だけど,,but
次に,つぎに,next
ですから,,"therefore, so"
というのは,,it's because
ところで,,by the way
まず初めに,まずはじめに,first (of all)
また,,also
だから,,so
について,~について,about ~
