,,
会場,かいじょう,meeting place
研究,けんきゅう,research
研究者,けんきゅうしゃ,researcher
財布,さいふ,"wallet, purse"
式,しき,ceremony
自分,じぶん,"self, oneself"
社長,しゃちょう,company president
自由,じゆう,freedom
就職,しゅうしょく,getting a job
招待,しょうたい,invitation
招待状,しょうたいじょう,invitation card
将来,しょうらい,future
送別会,そうべつかい,farewell party
卒業,そつぎょう,graduation
誕生会,たんじょうかい,birthday party
電気,でんき,electricity
同窓会,どうそうかい,reunion party
年を取る,としをとる,to become older
入学,にゅうがく,entering a school
引っ越し,ひっこし,lawyer
普通,ふつう,"ordinary, regular"
弁護士,べんごし,lawyer
貿易,ぼうえき,trading
貿易会社,ぼうえきがいしゃ,trading company
お湯,おゆ,hot water
留学,りゅうがく,study abroad
開く,あく,(for something) to open
起こす,おこす,to wake up (someone)
落ちる,おちる,(for something) to fall
落とす,おとす,to drop (something)
終わる,おわる,(for something) to end
かかる,,(for a telephone) to ring
変わる,かわる,(for something) to change
頑張る,がんばる,to try one's best
決まる,きまる,(for something) to be decided
消す,けす,to turn off
閉まる,しまる,(for something) to close
死ぬ,しぬ,to die
違う,ちがう,to be different
付く,つく,(for something) to turn on
直す,なおす,"to fix, repair"
亡くなる,なくなる,to passy away
根ぐ,ねぐ,"to take off (shoes, clothes)"
残す,のこす,to leave (something)
残る,のこる,"(for something) to be left, remain"
直る,なおる,"(for something) to heal, to be fixed"
始まる,はじまる,(for something) to begin
引っ越す,ひっこす,"to move (house), relocate"
冷やす,ひやす,"to chill, cool down"
間違う,まちがう,(for something) to be mistaken
汚す,よごす,to make dirty
沸かす,わかす,to boil
沸く,わく,to be boiled
開ける,あける,to open (something)
集める,あつめる,to collect (something)
生まれる,うまれる,(for someone) to be born
終える,おえる,to end (something)
考える,かんがえる,to think about
消える,きえる,"(for something) to go out, go off"
閉める,しめる,to close (something)
つける,,"to turn on (light, TV)"
続ける,つづける,to continue
乗せる,のせる,to give a ride (to someone)
始める,はじめる,to begin (something)
冷える,ひえる,(for something) to cool down
間違える,まちがえる,"to miss (something), make a mistake"
止める,やめる,"to quit, stop"
汚れる,よごれる,(for something) to become dirty
若い,わかい,young
同じ,おなじ,same
自由,じゆう,free
大事,だいじ,important
までに,,by ~ time
歓迎会,かんげいかい,welcome party
懇親会,こんしんかい,social gathering
新年会,しんねんかい,beginning-of-the-year party
お葬式,おそうしき,funeral
忘年会,ぼうねんかい,year-end party
会計士,かいけいし,accountant
教師,きょうし,teacher
教授,きょうじゅ,professor
銀行員,ぎんこういん,bank employee
軍関係,ぐんかんけい,military-related (field)
警察官,けいさんつかん,police officer
公務員,こうむいん,public officer
コンサルタント,,consultant
サラリーマン,,businessman
自営業,じえいぎょう,self-employed
消防士,しょうぼうし,firefighter
主婦,しゅふ,housewife
事務員,じむいん,business clerk
政治家,せいじか,politician
投資家,とうしか,investor
農家,のうか,farmer
