,,
意味,いみ,meaning
運転免許証,うんてんめんきょしょう,driver's license
外国人登録証,がいこくじんとうろくしょう,alien registration card
会話,かいわ,conversation
カード,,card
切手,きって,postage stamp
口座,こうざ,bank account
小包,こづつみ,parcel post
サイン,,signature
作文,さくぶん,composition
試験,しけん,"examination, test"
授業料,じゅぎょうりょう,tuition
住所,じゅうしょ,address
説明,せつめい,explanation
宅配便,たくはいびん,parcel delivery service
単語,たんご,vocabulary
ドル,,dollar
葉書,はがき,postcard
判子,はんこ,seal
封筒,ふうとう,envelope
普通預金,ふつうよきん,regular bank account
文法,ぶんぽう,grammar
レポート,,"report, term paper"
郵便受け,ゆうびんうけ,mail box
郵便番号,ゆうびんばんごう,postal code
用紙,ようし,form
預金,よきん,bank account
預金する,よきんする,to deposit money
預金がある,よきんがある,to have money in the bank
練習,れんしゅう,practice
要る,いる,to need
送る,おくる,to send
返す,かえす,to return something
貸す,かす,to lend
連れて行く,つれていく,to take (someone somewhere)
手伝う,てつだう,"to assist, help"
届く,とどく,(for something) to arrive
引き出す,ひきだす,to withdraw (money)
開く,ひらく,to open (an account)
申し込む,もうしこむ,to apply (form)
受ける,うける,"to receive, get, take"
教える,おしえる,to teach
覚える,おぼえる,to memorize
変える,かえる,to change
借りる,かりる,"to borrow, rent"
貯める,ためる,to save (money)
届ける,とどける,"to deliver, send"
持って来る,もってくる,to bring (something)
連れて来る,つれてくる,to bring (someone)
駄目,だめ,"no good, impossible"
方,~かた,way of ~ing
証,~しょう,card (for identification)
宛先,あてさき,recipient's address
保険,ほけん,insurance
料金,りょうきん,fee
外国為替,,foreign currency exchange
銀行振込,ぎんこうふりこみ,wire transfer of funds
現金,げんきん,cash
自動,じどう,automatic
送金,そうきん,sending money
手数料,てすうりょう,transaction fee
通帳,つうちょう,account bok
窓口,まどちぐ,"window (bank teller, office)"
