,,
映画館,えいがかん,movie theater
横断歩道,おうだんほどう,pedestrian crossing
改札,かいさつ,ticket gate
階段,かいだん,stairs
,,
ガソリンスタンド,,gas station
角,かど,corner
,,
交差点,こうさてん,intersection
市役所,しやくしょ,city hall
信号,しんごう,traffic signal
大使館,たいしかん,embassy
タクシー,,taxi
ターミナル,,terminal
地下鉄,ちかてつ,subway
地図,ちず,map
駐車場,ちゅうしゃじょう,parking lot
次,つぎ,next
突き当り,つきあたり,at the end of the street
出口,でぐち,exit
電車,でんしゃ,train
道路,どうろ,"road, street (paved)"
,,
橋,はし,bridge
バス停,バスてい,bus stop
辺,へん,area
道,みち,"road, way (any)"
間,あいだ,between
こちら側,こちらがわ,this side
先,さき,"beyond, further ahead"
手前,てまえ,just before
左,ひだり,left
右,みぎ,right
向かい側,むかいがわ,the other side
近い,ちかい,"close, near"
遠い,とおい,far
混む,こむ,to become crowded
通る,とおる,"to go through, pass"
止まる,とまる,(for someone) to stop
曲がる,まがる,(for someone) to turn
寄る,よる,to drop by
渡る,わたる,"to cross (bridge, road)"
降りる,おりる,to get off
止める,とめる,to stop (something)
乗り換える,のりかえる,to transfer
見える,みえる,to be seen
真っ直ぐ,まっすぐ,straight
すぐ,,"soon, shortly"
道なりに,みちなりに,following the road
公民館,こうみんかん,"public hall, community center"
住宅街,じゅうたくがい,residential district
商店街,しょうてんがい,shopping district
ショッピングセンター,,shopping mall
港,みなと,port
りょうじかん,りょうじかん,council general
餌,えさ,"food (for animal, fish)"
お祝い,おいわい,congratulatory gift
お菓子,おかし,"confectionary, sweets"
お返し,おかえし,thank-you gift (in return)
置物,おきもの,ornament
贈り物,おくりもの,gift
おじさん,,uncle
おじいさん,,elderly man
お歳暮,おせいぼ,end-of-year-gift
お中元,おちゅうげん,mid-year gift
おばさん,,aunt
おばあさん,,elderly woman
お見舞い,おみまい,sympathy gift
おもちゃ,,toy
お礼,おれい,thank-you gift (general)
カーネーション,,carnation
キャンデイ,,candy
近所,きんじょ,neighborhood
後輩,こうはい,one's junior
コーヒーカップ,,coffeec cup
お酒,おさけ,liquor
上司,じょうし,boss
タオル,,towel
チケット,,ticket (for entertainment)
父の日,ちちのひ,Father's Day
同僚,どうりょう,co-worker
動物,どうぶつ,animal
人形,にんぎょう,doll
ぬいぐるみ,ぬいぐるみ,stuffed animal
パソコン,,personal computer
鉢植,はちうえ,potted plant
花,はな,flower
母の日,ははのひ,Mother's Day
バラ,,rose
ハム,,ham
バレンタインデー,,Valentine's Day
部下,ぶか,junior employee
ペット,,pet
洋服,ようふく,Western clothes
リボン,,ribbon
ウィングラス,,wine glass
大切,,"precious, important"
頂く,いただく,to receive
選ぶ,えらぶ,to choose
飼う,かう,to raise (an animal)
下さる,くださる,to give (from a social superior)
包む,つつむ,to wrap
やる,,to give (to a social inferior)
喜ぶ,よろこぶ,to be pleased
あげる,,to give (to a socially equal)
くれる,,to be given (social equal)
差し上げる,さしあげる,to give (to a social superior)
お皿,おさら,plates
缶詰,かんづめ,canned food
クッキー,,cookies
グローブ,,baseball glove
化粧品,けしょうひん,cosmetics
シーツ,,sheets
商品券,しょうひんけん,gift certificate
スカーフ,,scarf
スニーカー,,sneakers
ビリー,,jellow
洗剤,せんざい,detergent
お煎餅,おせんべい,rice crackers
手袋,てぶくろ,gloves
バット,,bat
ハンドソープ,,hand soap
ハンドクリーム,,hand cream
風船,ふうせん,balloon
ボディソープ,,body soap
ポテトチップ,,potato chips
ユニフォーム,,uniform
洋菓子,ようがし,Western-style confectionary
マフラー,,muffler
お饅頭,おまんじゅう,steamed buns
毛布,もうふ,blanket
日持ちするもの,ひもちするもの,nonperishable items
日持ちしないもの,ひもちしないもの,perishable items
明るさ,あかるさ,brightness
暑さ,あつさ,heat
大きさ,おおきさ,size
重さ,おもさ,weight
高さ,たかさ,height
強さ,つよさ,strength
早さ,はやさ,speed
広さ,ひろさ,space
深さ,ふかさ,depth
難しさ,むずかしさ,difficulty
暗さ,くらさ,darkness
寒さ,さむさ,coldness
小ささ,ちいささ,smallness
軽さ,かるさ,lightness
低さ,ひくさ,lowness
弱さ,よわさ,weakness
遅さ,おそさ,lateness
狭さ,せまさ,narrowness
麻さ,あささ,shallowness
優しさ,やさしさ,easiness
もちろん,,of course
予算,よさん,budget
店員,てんいん,store clerk
