,,
味,あじ,taste
苺,いちご,strawberry
大さじ,,tablespoon
オーブン,,oven
カップ,,shrimp
蟹,かに,crab
キャベツ,,cabbage
牛肉,ぎゅうにく,beef
きゅうり,,cucumber
グラム,,gram
小さじ,こさじ,teaspoon
こしょう,,pepper
コーンスターチ,,cornstarch
小麦粉,こむぎこ,flour
材料,ざいりょう,"materials, ingredients"
砂糖,さとう,sugar
お皿,おさら,plate
サラダ油,さらだゆ,vegetable oil
塩,しお,salt
味を見る,あじをみる,to check the taste
じゃがいも,,potato
ジャム,,jam
しょう油,しょうゆ,soy sauce
酢,す,vinegar
炊飯器,すいはんき,rice cooker
スプーン,,spoon
ソース,,sauce
だし,,broth
玉ねぎ,たまねぎ,onion
茶碗,ちゃわん,rice bowl
電子レンジ,でんしレンジ,microwave oven
鶏肉,とりにく,chicken (meat)
ドレッシング,,salad dressing
ナイフ,,knife
ねぎ,,green onion
海苔,のり,seaweed
鍋,なべ,pot
箸,はし,chopsticks
バター,,butter
火,ひ,fire
フォーク,,fork
豚肉,びたにく,pork
フライパン,,frying pan
ボウル,,mixing bowl
包丁,ほうちょう,"butcher knife, kitchen knife"
ほうれん草,ほうれんそう,spinach
マヨネーズ,,mayonnaise
ミキサー,,electric mixer
味噌,みそ,soybean paste
洗う,あらう,to wash
炊く,たく,to cook
足す,たす,to add
焼く,やく,"to bake, fry, grill"
やる,,to do
蒸す,むす,to steam
揚げる,あげる,to deep-fry
温める,あたためる,to heat up
炒める,いためる,"to stir-fry, saute"
かける,,to pour
加える,くわえる,to add (an ingredient)
漬ける,つける,"to dip, soak"
煮る,にる,"to boil, stew"
混ぜる,まぜる,to mix
茹でる,ゆでる,to poach
薄い,うすい,thin (liquid)
濃い,こい,thick (liquid)
適当,てきとう,appropriate
少しずつ,つこしずつ,little by litte
最後に,さいごうに,"lastly, finally"
いか,,"squid, calamari"
蛤,はまぐり,clam
たこ,,octopus
鯛,たい,red snapper
鮪,まぐろ,tuna
挽肉,ひきにく,ground meat
胸肉,むねにく,breast meat
もも肉,ももにく,chicken thigh
さやえんどう,,snow pea
椎茸,しいたけ,shiitake mushroom
洋梨,ようなし,pears
パイナップル,,pineapple
豆,まめ,beans
ブロッコリ,,broccoli
カリフラワー,,cauliflower
大根,だいこん,daikon radish
とうもろこし,,corn
パセリ,,parsley
ウスターソース,,Worcestershire sauce
オリーブ油,おりーぶゆ,olive oil
ケチャップ,,ketchup
スパイス,,spice
味醂,みりん,sweet rice wine
バルサミコ酢,バルサミコす,balsamic vinegar
