,,
挨拶,あいさつ,a greeting
アドバイス,,advice
アニメ,,animation
生け花,いけばな,flower arranging
イスラム教,イスラムきょう,Islam
祈り,いのり,prayer
インターネット,,Internet
お辞儀,おぎぎ,bowing
キス,,kiss
教育,きょういく,education
興味,きょうみ,interest
キリスト教,キリストきょう,Christianity
芸術,げいじゅつ,art
経済,けいざい,economy
茶道,さどう,tea ceremony
詩,し,poetry
社会,しゃかい,society
習慣,しゅうかん,custom
宗教,しゅうきょう,religion
習字,しゅうじ,calligraphy
神道,しんとう,Shinto religion
正座,せいざ,formal Japanese style sitting posture
政治,せいじ,politics
世界,せかい,world
チップ,,tip
頼み,たのみ,request
つきあい,,correspondence
俳句,はいく,Haiku
ハグ,,hug
仏教,ぶっきょう,Buddhism
ブログ,,blog
文化,ぶんか,culture
他,ほか,other
マンガ,,cartoon
見送り,みおくる,farewell
皆,みんな,"all, everyone"
床,ゆか,floor
落語,らくご,rakugo
理由,りゆう,reason
謝る,あやまる,to apologize
断る,ことわる,to refuse
座る,すわる,to sit down
付き合う,つきあう,to go out with
見送る,みおくる,to see someone off
信じる,しんじる,to believe
助ける,たすける,"to save, help"
迎える,むかえる,to welcome
重い,おもい,heavy
心細い,こころぼそい,"lonely, helpless"
丁寧,ていねい,polite
失礼,しつれい,rude
はっきり,,explicitly
絶対,ぜったい,definitely
浮世絵,うきよえ,traditional Japanese woodblock prints
踊り,おどり,traditional dance
芸術,げいじゅつ,art
芸能,げいのう,"entertainment, show"
琴,こと,Japanese harp
三味線,しゃみせん,Japanese three-string guitar
陶芸,とうげい,ceramic art
能,のう,Noh Play
文楽,ぶんらく,Bunraku puppet show
焼き物,やきもの,ceramics
油絵,あぶらえ,oil painting
演劇,えんげき,"drama, play"
絵画,かいが,painting
クラフト,,crafts
ダンス,,Western style dance
バレエ,,ballet
遊び,あそび,"play, game"
行き,いき,bound for ~
いじめ,,bullying
動き,うごき,movement
泳ぎ,およぎ,swimming
終わり,おわり,ending
帰り,かえり,return
答え,こたえ,answer
違い,ちがい,difference
知り合い,しりあい,acquaintance
つかれ,,fatigue
作り,つくり,"structure, construction"
つづき,,sequel
つる,,to fish
いじめる,,to bully
祝う,いわう,to congratulate
手伝い,てつだい,"help, helper"
ぬすみ,,theft
のこり,,leftover
乗り換え,のらかえ,transfer point
はかり,はかり,scale
話,はなし,story
間違い,まちがい,"mistake, error"
むかえ,,"meeting, greeting"
見送り,みおくり,seeing someone off
ゆれ,,turbulence
よろこび,,joy
かかわる,,to be relevant to
貢献する,こうこうけんする,to contribute
