,,
聞き返す,ききかえす,to raise a question about something that has just been said
昔話,むかしばなし,old tale
色々,いろいろ,various
専門,せんもん,one's specialization
地方,ちほう,"region, area"
田舎,いなか,"countryside, rural area"
その他に,そのほかに,"besides, in addition to that"
関東,かんとう,Kanto
関西,かんさい,Kansai
周り,まわり,"surroundings, vicinity"
内容,ないよう,content
地名,ちめい,place name
名物,めいぶつ,local specialty
関係がある,かんけいがある,to be related (to)
伝統的な,でんとうてきな,traditional
行事,ぎょうじ,event
年,とし,year
特別,とくべつ,"special, particular"
行る,おこなる,"to conduct, carry out"
正月,しょうがつ,New Year's
そういう,,"(things) like that, that sort of (story)"
そんな,,"such, like that"
一般的,いっぱんてき,"general, common"
紙芝居,かみしばい,story told through pictures
大変,たいへん,"very, greatly"
出身,しゅっしん,"one's origin (town, country)"
自然,しぜん,nature
厳しい,きびしい,"severe, strict"
気持ち,きもち,"feeling, mood (emotional)"
梅雨,つゆ,rainy season
始め,はじめ,the beginning
湿度,しつど,humidity
うまい,,"delicious, tasty"
じゃがいも,,potato
東北地方,とうほくちほう,Tohoku region
祭り,まつり,festival
すごい,,"terrific, amazing"
観光客,かんこうきゃく,tourist
おすすめ,,one's recommendation
敬語,けいご,honorific language
くだけた,,"plain, relazed, information"
実は,じつは,"to tell the truth, as a matter of fact"
複雑,ふくざつ,complicated
決まり,きまり,"rules, customs"
課,か,lesson
丁寧,ていねい,"polite, respectful"
使い分ける,つかいわける,to use different things properly according to the situation
言語,げんご,language
相手,あいて,"the person who is speaking, partner"
変える,かえる,"to change, alter"
部分,ぶぶん,"part, section"
男性,だんせい,male
女性,じょせい,female
比べる,くらべる,to compare
文末,ぶんまつ,the end of a sentence
表れる,あらわれる,to appear
あの方,あのかた,that person (polite)
あいつ,,that person (vulgar)
感じ,かんじ,"feeling, impression"
多くの,おおくの,"many, a lot of"
場面,ばめん,"scene, situation"
観察,かんさつ,observation
男女,だんじょ,man and woman
この辺,このへん,man and woman
おごる,,to treat (a person to a meal)
随分,ずいぶん,"a lot, very much (adv)"
文字,もじ,letter
恋人,こいびと,boyfriend/girlfriend
例,れい,example
表現,ひょうげん,expression
省略,しょうりゃく,"omission, abbreviation"
短縮形,たんしゅくけい,contracted form
最後,さいご,"the last, end"
連絡,れんらく,"contact, communication"
はっきり,,clearly
誘う,さそう,"to invite, ask (a person to do something)"
表,ひょう,"table, chart"
断る,ことわる,"to refuse, decline"
都合が悪い,つごうがわるい,inconvenient
気分,きぶん,"feeling, mood (physical)"
お願い,おねがい,"request, favor"
大切にする,たいせつにする,"to value, treasure"
話し言葉,はなしことば,spoken language
簡単,かんたん,"simple, easy"
こういう,,"of this kind, like this"
慣れる,なれる,get become used to
倒置,とうち,inversion
理由,りゆう,reason
状況,じょうきょう,situation
このような,このような,"this sort of, such"
特徴,とくちょう,"special feature, characteristic"
書き言葉,かきことば,written language
必要,ひつよう,"necessity, need"
携帯,けいたい,cellular phone
普通,ふつう,"usually, commonly"
論文,ろんぶん,"essay, thesis"
興味深い,きょうみぶかい,very interesting
会う,あうい,"to suit, match"
,,
