,,
技術,ぎじゅつ,technology
発達,はったつ,"development, growth"
会場,かいじょう,event site
似顔絵,にがおえ,"portrait, likeness"
描く,かく,"to draw, paint"
クモ,,spider
天井,てんじょう,ceiling
手術,しゅじゅつ,surgery
社会,しゃかい,"society, world"
活躍,かつやく,"being active, to take an active part"
留守番をする,るすばんをする,to house-sit
運ぶ,はこぶ,to carry
人間,にんげん,human
暮す,くらす,to live
すでに,,"already, before"
ケアハウス,,retirement home
アザラシ,,seal (animal)
毛,け,hair
触る,さわる,"to touch, feel"
首,くび,neck
動かす,うごかす,to move
声,こえ,voice
周り,まわり,"surroundings, vicinity"
集まる,あつまる,to gather
動物,どうぶつ,animal
アレルギー,,allergy
大丈夫,だいじょうぶ,"safe, all right"
大事,だいじ,important
効果,こうか,"effectiveness,m impact"
載る,のる,to appear (in a magazine)
入学,にゅうがく,entrance into school
動く,うごく,to move
残念,ざんねん,"unfortunate, regrettable"
これから,,from now on
生まれる,うまれる,to be born
演奏,えんそう,musical performance
合格,ごうかく,passing (an exam)
お祝い,おいわい,congratulatory gift
始めて,はじめて,for the first time
名前を付ける,なまえをつける,to name
理解,りかい,"understanding, comprehension"
最初,さいしょ,at first
効果がある,こうかがある,to be effective
声を出す,こえをだす,to utter
演奏する,えんそうする,to play (musical instrument)
学習,がくしゅう,"learning, study"
食事,しょくじ,meal
受付,うけつけ,receptionist
案内,あんない,guidance
三原則,さんげんそく,three principles
怪我,けが,injury
違反,いはん,"violation, offence"
守る,まもる,to protect (from danger)
問題,もんだい,problem
最高,さいこう,"he highest, maximum"
案内する,あんないする,"to guide, show around"
怪我をする,けごをする,to get hurt
違反する,いはんする,to violate
依頼,いらい,request
感謝,かんしゃ,"thanks, gratitude"
ホームステイ先,ホームステイさき,home-stay host family
頼む,たのむ,to request
間違う,まちがう,to make a mistake
ハイブリッド,,hybrid (car)
エコカー,,ecologically-friendly car
記事,きじ,article
カーソル,,cursor
チェック,,check
発音,はつおん,pronunciation
元,もと,"origin, root"
エンスト,,stalled enginer
勉強になる,べんきょうになる,(to be able to) learn a lot
に感謝する,にかんしゃする,"to thank, show gratitude"
チャックする,,to check up on someothing
発音する,はつおんする,to pronounce
発表,はっぴょう,"presentation, announcement"
この間,このあいだ,to other day
ハンドル,,steering wheel
バックミラー,,rearview mirror
カーナビ,,car navigation system
和製英語,わせいえいご,English word coined in Japan
アメリカンコーヒー,,American coffee
運転免許,うんてんめんきょ,driver's license (short version)
なるほど,,"I see, understand"
リサーチ,,research
年代,ねんだい,period (years)
