,,
秋,あき,"fall, autumn"
雨,あめ,rain
風,かぜ,wind
気温,きおん,air temperature
気候,きこう,climate
季節,きせつ,season
北,きた,north
去年,きょねん,last year
雲,くも,cloud
曇り,くもり,cloudy
今朝,けさ,this morning
今年,ことし,this year
最近,さいきん,"recent, recently"
台風,たいふう,typhoon
梅雨,つゆ,rainy season
天気,てんき,weather
天気予報,てんきよほう,weather forecast
夏,なつ,summer
南西,なんせい,southwest
南東,なんとう,southeast
西,にし,west
にわか雨,にわかあめ,shower (rain)
冬,ふゆ,winter
春,はる,spring
晴れ,はれ,sunny weather
東,ひがし,east
方,ほう,direction
北西,ほくせい,northwest
北東,ほくとう,northeast
マイナス,,minus
南,みなみ,south
夕方,ゆうがた,evening
雪,ゆき,snow
夜,よる,night
方,ほう,direction
上がる,あがる,to rise
曇る,くもる,to become cloudy
下がる,さがる,"to fall, go down"
知る,しる,to come to know
続く,つづく,to continue
吹く,ふく,to blow
降る,ふる,to fall
晴れる,はれる,to become sunny
暖かい,あたたかい,warm
熱い,あつい,hot
寒い,さむい,cold
涼しい,すずしい,cool
強い,つよい,strong
早い,はやい,early
弱い,よわい,weak
蒸し暑い,むしあつい,humid
悪い,わるい,bad
急に,きゅうに,sudden
嫌,いや,unpleasant
度,~ど,"degree, temperature (counter)"
月,~がつ,month
温度,おんど,temperature
華氏,かし,Fahrenheit
気圧,きあつ,air pressure
降水量,こうすいりょう,amount of precipitation
最高気温,さいこうきおん,highest temperature
最低気温,さいていきおん,lowest temperature
湿度,しつど,humidity
摂氏,せっし,Celcius
天気図,てんきず,weather map
嵐,あらし,storm
あられ,,hail
稲光,いなびかり,lightening
雷,かみなり,thunder
霧,きり,fog
洪水,こうずい,flood
小雨,こさめ,light rain
竜巻,たつまき,tornado
津波,つなみ,"tidal wave, tsunami"
どしゃ降り,どしゃぶり,downpour
日照り,ひでり,drought
吹雪,ふぶき,snowstorm
みぞれ,,sleet
夕立,ゆうだち,evening shower
ハリケーン,,hurricane
たしかに,,certainly
いつもより,,~ than usual
気候,きこう,climate
海,うみ,"ocean, sea"
一昨年,おととし,the year before last
思い出,おもいで,memories
外国,がいこく,foreign countries
学期,がっき,semester
歌舞伎,かぶき,kabuki
着物,きもの,kimono
キャンプ,,camping
教会,きょうかい,church
クリスマス,,Christmas
けんか,,fight
今月,こんげつ,this month
正月,しょうがつ,New Year
神社,じんじゃ,Shinto shrine
水族館,すいぞくかん,acquarium
先月,せんげつ,last month
中学,ちゅうがく,junior high school
デート,,date
お寺,おてら,Buddhist template
動物園,どうぶつえん,zoo
時,とき,at the time of ~
博物館,はくぶつかん,museum
バレンタインデー,,Valentine's Day
ハロウイン,,Halloween
半年,はんとし,half year
飛行機,ひこうき,airplane
美術館,びじゅつかん,art museum
プレゼント,,"present, gift"
祭り,まつり,festival
ミュージカル,,musical
山登り,やまのぼり,mountain climbing
遊園地,ゆうえんち,amusement park
来月,らいげつ,next month
泣く,なく,to cry
乗る,のる,"to get on, ride"
もらう,,to receive
失恋する,しつれんする,to be disappointed in love
始めて,はじめて,for the first time
回,~かい,times (counter)
か月,~かげつ,months (counter)
後,~ご,~ from now
週間,~しゅうかん,weeks (counter)
度,~ど,times (counter)
日,~にち,day
年,~ねん,years (counter)
前,~まえ,~ ago
けっこう,,quite (a lot)
かっぱつ,,active
受験,じゅけん,entrance exam
