,,
海老,えび,shrimp
キャベツ,,cabbage
牛肉,ぎゅうにく,beef
きゅうり,,cucumber
玉ねぎ,たまねぎ,onion
鶏肉,とりにく,chicken
ねぎ,,green onion
豚肉,ぶたにく,pork
ほうれんそう,,spinach
ピーマン,,green pepper
みかん,,tangerine
メロン,,melon
苺,いちご,strawberry
ぶどう,,grape
アクセサリー,,accessories
イアリング,,earring
腕時計,うでとけい,wristwatch
売り場,うりば,department
傘,かさ,umbrella
靴,くつ,shoes
靴下,くつした,socks
コート,,coat
ジーンズ,,socks
ジャケット,,jacket
シャツ,,shirt
食品,しょくひん,food
紳士服,しんしふく,men's clothing
スーツ,,suit
スカート,,skirt
ストッキング,,stockings
ズボン,,pants (mens)
セーター,,sweater
セール,,sale
誕生日,,birthday
地下,ちか,basement
ドレス,,dress
ネクタイ,,tie
ネックレス,,necklace
箱,はこ,box
パンツ,,pants (womens)
ハンドバッグ,,handbag
服,ふく,clothes
婦人服,ふじんふく,women's clothing
ブラウス,,blouse
文房具,ぶんぼうぐ,stationery
ベルト,,belt
帽子,ぼうし,hat
店,みせ,store
指輪,ゆびわ,ring
買う,かう,to buy
取る,とる,to take
入れる,いれる,to put
見せる,みせる,to show
少し,すこし,a little (formal)
たくさん,,a lot
ちょっと,,a little (casual)
もう少し,,a little more (formal)
もうちょっと,,a little more (casual)
円,~えん,currency (counter)
階,~かい,floors (counter)
つ,,general (counter)
匹,~ひき,fish and small animals (counter)
本,~ほん,long objects (counter)
枚,~まい,thin objects (counter)
冊,~さつ,bound objects (counter)
いかが,,how (polite)
いくつ,,how many
いくら,,how much (money)
麻,あさ,linen
ウール,,wool
着物,きもの,kimono
サンダル,,sandal
下着,したぎ,underwear
スーツ,,suit
シルク,,silk
スカーフ,,scarf
スニーカー,,sneakers
ブーツ,,boots
ブレスレット,,bracelets
コットン,,cotton
