,,
タオル,,towel
スリッパ,,slippers
洗剤,せんざい,soap
アイスクリーム,,ice cream
油,あぶら,oil
イタリア,,Italy
うどん,,udon
ランチ,,lunch
カレーライス,,curry rice
カロリー,,calorie
クッキー,,cookie
御刺し身,おさしみ,cake
サラダ,,sashimi
サンドイッチ,,sandwich
スープ,,soup
御寿司,おすし,sushi
サラダ,,salad
ステーキ,,steak
スパゲティ,,spaghetti
セット,,fixed menu set
蕎麦,そば,udon
チーズ,,cheese
チャーハン,,Chinese-style fried rice
中華料理,ちゅうかりょうり,Chinese cuisine
注文,ちゅうもん,order
チョコレート,,chocolate
定食,ていしょく,Japanese-style dish set
デザート,,dessert
天ぷら,てんぷら,tempura
トースト,,toast
ハンバーガー,,hamburger
パン,,bread
ピザ,,pizza
フライドチキン,,fried chicken
洋食,ようしょく,Western-style cuisine
ラーメン,,ramen
和食,わしょく,Japanese cuisine
要る,いる,to need
暖かい,あたたかい,warm
熱い,あつい,hot
甘い,あまい,sweet
多い,おおい,a lot
固い,かたい,"hard, tough"
辛い,からい,spicy
しょっぱい,,salty
少ない,すくない,"few, little"
酸っぱい,すっぱい,sour
冷たい,つめたい,cold
苦い,にがい,bitter
低い,ひくい,low (amount)
柔らかい,やわらかい,soft
にする,,to decide on
をお願いします,をおねがいします,I would like to have
そろそろ,,its about time to do something (expression)
乾く,かわく,to get dry
食生活,しょくせかつ,eating habits
足,あし,leg
頭,あたま,head
兄,あに,older brother (speaker's)
姉,あね,older sister (speaker's)
妹,いもうと,younger sister (speaker's)
お母さん,おかあさん,mother (someone else's)
奥さん,おくさん,wife (someone else's)
お子さん,おこさん,child (someone else's)
お祖父さん,おじいさん,grandfather (someone else's)
お父さん,おとうさん,father (someone else's)
男,おとこ,male
お兄さん,おにいさん,older brother (someone else's)
お姉さん,おねえさん,older sister (someone else's)
妹さん,いもうとさん,younger sister (someone else's)
お祖母さん,おばあさん,grandmother (someone else's)
女,おんな,female
会社員,かいしゃいん,businessperson
顔,かお,face
家族,かぞく,family (speaker's)
髪,かみ,hair
兄弟,きょうだい,siblings (speaker's)
口,くち,mouth
結婚,けっこん,marriage
男の人,おとこのひと,male
女の人,おんなのひと,female
子,こ,child
ご家族,ごかぞく,family (someone else's)
御兄弟,ごきょうだい,siblings (someone else's)
ご主人,ごしゅじん,husband (someone else's)
子供,こども,child
主人,しゅじん,husband (speaker's)
背,せ,"back, height"
祖父,そふ,grandfather (speaker's)
祖母,そぼ,grandmother (speaker's)
父,ちち,father (speaker's)
妻,つま,wife (speaker's)
手,て,hand
年,とし,year
鼻,はな,nose
母,はは,mother (speaker's)
一人っ子,ひとりっこ,only child
ブロンド,,blond
年上,としうえ,older
年下,としした,younger
真ん中,まんなか,"middle, middle child"
耳,みみ,ear
目,め,eye
眼鏡,めがね,glasses
かぶる,,to put on (hat)
住む,すむ,to reside
はく,,"to put on (skirt, pants, socks, shoes)"
太る,ふとる,to gain weight
分かる,わかる,to understand
かける,かける,to put on (glasses)
着る,きる,"to put on (sweater, shirt, jacket)"
勉める,つとめる,to become unemployed
やせる,,to lose weight
明るい,あかるい,cheerful
かっこいい,,cool
可愛い,かわいい,cute
四角い,しかくい,square
長い,ながい,long
細長い,ほそながい,elongated
丸い,まるい,round
短い,みじかい,short (length)
上手,じょうず,good at
しんせつ,,kind
いくつ,,how old?
従妹,いとこ,cousin
甥,おい,nephew
叔父,おじ,uncle
叔母,おば,aunt
親戚,しんせき,relatives
姪,めい,niece
孫,まご,grandchild
顎,あご,chin
腕,うで,arm
おなか,,belly
体,からだ,body
唇,くちびる,lips
首,くび,neck
腰,こし,waist
背中,せなか,back
銅,どう,torso
爪,つめ,nail
咽,のど,throat
歯,は,tooth
髭,ひげ,"mustache, beard"
ぽっぺた,,cheek
睫,まつげ,eyelash
眉毛,,eyebrow
指,ゆび,finger
内気,うちき,"shy, introverted"
気が強い,きがつよい,strong-minded
気が長い,きがながい,patient
気が早い,きがはやい,impatient
気が短い,きがみじかい,short-tempered
気が弱い,きがよわい,weak-minded
暗い,くらい,"somber, nerdy"
,,
のんびりしている,,"easygoing, carefree"
小学生,しょうがくせい,elementary school student
会社員,かいしゃいん,business person
中学生,ちゅうがくせい,middle school student
医者,いしゃ,doctor
エンジニア,,engineer
看護士,かんごし,nurse
教師,きょうし,teacher
公務員,こうむいん,government official
サラリーマン,,white-collar worker
自営業,じえいぎょう,self-employed
大学教授,だいがくきょうじゅ,college professor
歯医者,はいしゃ,dentist
弁護士,べんごし,lawyer
マネージャー,,manager
若い,わかい,young
