アジア研究,アジアけんきゅう,Asian Studies
アメリカ,アメリカ,America
イギリス,イギリス,England
一年生,いちねんせい,first-year student
今,いま,now
オーストラリア,オーストラリア,Australia
学生,がくせい,student
カナダ,カナダ,Canada
韓国,かんこく,South Korea
経営学,けいえいがく,management
高額,こうがく,engineering
高校,こうこう,high school
午後,ごご,p.m.
午前,ごぜん,a.m.
こちら,こちら,"this person, this way"
三年生,さんねんせい,third-year student
出身,しゅつしん,"hometown, birthplace"
スペイン,スペイン,Spain
専攻,せんこう,major (of study)
大学,だいがく,"college, university"
大学院生,だいがくいんせい,graduate student
大学生,だいがくせい,college student
台湾,たいわん,Taiwan
中国,ちゅうごく,China
名前,なまえ,name
二年生,にねんせい,second-year student
日本,にほん,Japan
ビジネス,ビジネス,business
フランス,フランス,France
文学,ぶんがく,literature
メキシコ,メキシコ,Mexico
四年生,よねんせい,fourth-year student
来年,らいねん,next year
留学生,りゅうがくせい,foreign student
歴史,れきし,history
どこ,どこ,where
何,なに,what
