医学,いがく,medicine (medical school)
音楽,おんがく,music
科学,かがく,chemistry
教育学,きょういくがく,education
経済学,けいざいがく,economics
建築学,けんちくがく,architecture
国際関係,こくさいかんけい,international relations
コンピュータ工学,コンピュータこうがく,computer engineering
社会学,しゃかいがく,sociology
情報科学,じょうほうかがく,information science
情報工学,じょうほうこうがく,information technology
心理学,しんりがく,psychology
人類学,じんるいがく,anthropology
数学,すうがく,mathematics
生物学,せいぶつがく,biology
政治学,せいじがく,political science
美術,びじゅつ,fine arts
物理学,ぶつりがく,physics
ニューヨーク,ニューヨーク,New York
ホノルル,ホノルル,Honolulu
シドニー,シドニー,Sydney
モスクワ,モスクワ,Moscow
バンクーバー,バンクーバー,Vancouver
ロンドン,ロンドン,London
バンコク,バンコク,Bangkok
デリー,デリー,Delhi
カイロ,カイロ,Cairo
朝,あさ,morning
朝ご飯,あさごはん,breakfast
明後日,あさって,the day after tomorrow
明日,あした,tomorrow
家,うち,home
映画,えいが,movie
一昨日,おととい,the day before yesterday
お風呂,おふろ,bath
学校,がっこう,school
火曜日,かようび,Tuesday
昨日,きのう,yesterday
今日,きょう,today
金曜日,きんようび,Friday
クラス,クラス,class
月曜日,げつようび,Monday
コーヒー,コーヒー,coffee
ご飯,ごはん,"meal, cooked rice"
今週,こんしゅう,this week
今晩,こんばん,tonight
シャワー,シャワー,shower
週末,しゅうまつ,weekend
授業,じゅぎょう,"class, course"
宿題,しゅくだい,homework
水曜日,すいようび,Wednesday
生活,せいかつ,"life, living"
先週,せんしゅう,last week
次,つぎ,next
テレビ,テレビ,TV
電話番号,でんわばんごう,telephone number
図書館,としょかん,library
土曜日,どようび,Saturday
日曜日,にちようび,Sunday
晩,ばん,"night, evening"
晩御飯,ばんごはん,dinner
昼,ひる,afternoon
昼ご飯,ひるごはん,lunch
勉強,べんきょう,study
本,ほん,book
毎朝,まいあさ,every morning
毎週,まいしゅう,every week
毎日,まいにち,every day
毎晩,まいばん,every night
木曜日,もくようび,thursday
ある,ある,to have
行く,いく,to go
帰る,かえる,"to return, go home"
飲む,のむ,to drink
入る,はいる,"to enter, take a bath"
読む,よむ,to read
浴びる,あびる,to take (a shower)
起きる,おきる,"to get up, wake up"
食べる,たべる,to eat
見る,みる,to see
寝る,ねる,to go to bed
来る,くる,to come
する,する,to do
勉強する,べんきょうする,to study
いつ,いつ,when
いつも,いつも,always
全然,ぜんぜん,not at all
たいてい,たいてい,usually
時々,ときどき,sometimes
よく,よく,"often, well"
そして,そして,"and, then"
その後,そのあと,after that
ですから,ですから,"so, therefore"
でも,でも,but
