,,
上,うえ,"on, above"
後ろ,うしろ,behind
下,した,"under, beneath"
外,そと,outside
近く,ちかく,near
隣,となり,next to
中,なか,"in, inside"
左,ひだり,left
前,まえ,in front of
右,みぎ,right
横,よこ,"next to, side of"
椅子,いす,chair
犬,いぬ,dog
絵,え,picture
押し入れ,おしいれ,Japanese-style closet
学食,がくしょく,school cafeteria
学生会館,がくせいかいかん,student union
川,かわ,river
木,き,tree
教室,きょうしつ,classroom
車,くるま,car
黒板,こくばん,chalkboard
コンピュータ,コンピュータ,computer
自転車,じてんしゃ,bicycle
写真,しゃしん,photograph
ソファ,ソファ,sofa
体育館,たいいくかん,gym
箪笥,たんす,"chest, drawers"
机,つくえ,desk
テーブル,テーブル,table
電話,でんわ,telephone
ドア,ドア,door
トイレ,トイレ,toilet
時計,とけい,"clock, watch"
猫,ねこ,cat
所,ところ,place
バス,バス,bus
ビデオ,ビデオ,video
人,ひと,person
布団,ふとん,futon
ベッド,ベッド,bed
部屋,へや,room
本棚,ほんだな,bookshelf
窓,まど,window
物,もの,thing (tangible)
山,やま,mountain
ラボ,ラボ,laboratory
かかる,かかる,"to take (time), to cost"
この,この,this [+noun]
その,その,that [+noun]
あの,あの,that [+noun] over ther
どの,どの,which [+noun]?
明るい,あかるい,bright
暗い,くらい,dark
狭い,せまい,"cramped, narrow"
速い,はやい,"fast, quick"
静か,しずか,quite
から,から,from
まで,まで,"until, to"
ぐらい,ぐらい,"about ~ (duration, quantity)"
上がって下さい,あがってください,Please come in
歩いて,あるいて,on foot
どのぐらい,どのぐらい,"how long, how much, how many"
引っ越し,ひっこし,"moving, changing residence"
手伝う,てつだう,"to help, assist"
奥,おく,interior
手前,てまえ,this side
鉢植え,はちうえ,potted plant
たくさん,たくさん,many
