,,
アルバイト,,part-time job
運動,うんどう,exercises
音楽,おんがく,music
買い物,かいもの,shopipng
ゲーム,,game
コンサート,,concert
今度,こんど,next time
雑誌,ざっし,magazine
散歩,さんぽ,"walk, stroll"
仕事,しごと,job
質問,しつもん,question
ジョギング,,jogging
新聞,しんぶん,newspaper
掃除,そうじ,laundry
手紙,てがみ,letter
テニス,,tennis
友達,ともだち,friend
パーティ,,party
ピクニック,,picnic
プール,,pool
メール,,e-mail
休み,やすみ,"rest, absence"
休みの日,やすみのひ,"day off, holiday"
両親,りょうしん,parents
料理,りょうり,"cooking, cuisine"
会う,あう,to meet
遊ぶ,あそぶ,to play
歩く,あるく,to walk
言う,いう,to say
泳ぐ,およぐ,to swim
書く,かく,to write
聞く,きく,to ask
話す,はなす,to talk
待つ,まつ,to wait
呼ぶ,よぶ,"to call, invite"
かける,,to make (a phone call)
出かける,でかける,to go out
忙しい,いそがしい,busy
嬉しい,うれしい,happy
面白い,おもしろい,interesting
悲しい,かなしい,sad
寂しい,さびしい,lonely
楽しい,たのしい,fun
うまらない,,boring
難しい,むずかしい,difficult
優しい,やさしい,"easy, kind"
元気,げんき,"healthy, cheerful"
残念,ざんねん,"sorry, regrettable"
大丈夫,だいじょうぶ,"all right, no problem"
大変,たいへん,tough
賑やか,にぎやか,lively
暇,ひま,"free, idle"
一緒に,いっしょに,together
是非,ぜひ,by all means
ゆっくり,,slowly
