,,
歌,うた,song
エアロビクス,,aerobics
お茶,おちゃ,green tea
オレンジ,,orange
カラオケ,,karaoke
果物,くだもの,fruit
クラシック,,classical music
紅茶,こうちゃ,black tea
コーラ,,cola
こと,,thing (intangible)
ゴルフ,,golf
魚,さかな,fish
ジャズ,,jazz
ジュース,,juice
趣味,しゅみ,hobby
食事,しょくじ,dining
スキー,,skiing
スポーツ,,sports
食べ物,たべもの,food
卵,たまご,egg
釣り,つり,fishing
トマト,,tomato
ドライブ,,driving
肉,にく,meat
人参,にんじん,carrot
飲み物,のみもの,"beverage, drink"
ハイキング,,hiking
バスケットボール,,basketball
バナナ,,banana
ヒップホップ,,hip-hop
ビール,,beer
フットボール,,American football
ポップス,,pop music
水,みず,water
ミルク,,milk
野球,やきゅう,baseball
野菜,やさい,vegetable
ラップ,,rap music
旅行,りょこう,travel
りんご,,apple
レタス,,lettuce
ロック,,rock music
ワイン,,wine
歌う,うたう,to sing
終わる,おわる,(for something) to end
作る,つくる,to make
撮る,とる,to take (a photograph)
始まる,はじまる,(for something) to begin
おいしい,,delicious
安い,やすい,inexpensive
嫌い,きらい,"dislike, hate"
好き,すき,like
どうして,,why
もっと,,more
それから,,"and, in addition"
たとえｂ,,for example
